"Species","Region","enddecade_year","startdecade_year","change_lastdecade"
"Chinook","CC",2017,2008,-8.09869175061296
"Chinook","Skeena",2017,2008,-29.1652705073776
"Chum","CC",2017,2008,-37.2795698304719
"Chum","Nass",2016,2007,-64.0471169802902
"Chum","Skeena",2017,2008,-88.5643277746334
"Coho","CC",2016,2007,-10.7177365760278
"Coho","Nass",2014,2005,29.1231953240315
"Coho","Skeena",2017,2008,-23.9445917222824
"Pink","CC",2017,2008,47.7197397225445
"Pink","Skeena",2017,2008,-11.9041388566142
"Pink","VIMI",2016,2007,14.6165560284953
"Sockeye","CC",2014,2005,-69.8251792047722
"Sockeye","Fraser",2019,2010,12.6934918368669
"Sockeye","Skeena",2017,2008,-27.2453814350095
"Sockeye","VIMI",2017,2008,24.6002201832741
